# parameter: Mean temperature
# unit: 0,1 °C
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2018-12-18T16:52:55Z
# station: Sonnblick
# abbr: SON
# country_code: AT
# longitude: 12.9580
# latitude: 47.0540
# height: 3105.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1968;-161;-119;-107;-62;-41;-5;6;-3;-20;-18;-65;-132;-70;-1;-34;-134;-21;-99;-61
1969;-113;-157;-111;-93;-15;-22;22;5;11;-14;-80;-153;-73;2;-28;-142;-15;-110;-60
1970;-111;-163;-141;-105;-67;3;9;20;2;-41;-59;-116;-104;11;-33;-124;-23;-104;-64
1971;-120;-136;-153;-62;-18;-14;26;44;-26;-26;-88;-80;-78;19;-47;-101;-8;-84;-54
1972;-119;-103;-91;-78;-47;-6;16;12;-44;-54;-75;-83;-72;7;-58;-112;-24;-99;-56
1973;-108;-146;-130;-118;-28;5;8;39;12;-39;-88;-122;-92;17;-38;-110;-14;-93;-60
1974;-90;-119;-99;-93;-52;-24;8;36;0;-106;-93;-99;-81;7;-66;-104;-21;-104;-61
1975;-92;-121;-111;-86;-28;-15;21;18;23;-44;-88;-86;-75;8;-36;-109;-11;-98;-51
1976;-137;-105;-131;-84;-30;0;26;-12;-25;-25;-89;-135;-82;5;-46;-123;-21;-93;-62
1977;-120;-113;-77;-92;-31;-5;16;6;-18;-14;-97;-93;-67;6;-43;-118;-21;-96;-53
1978;-128;-133;-111;-93;-51;-14;6;9;-13;-29;-57;-98;-85;0;-33;-124;-26;-94;-59
1979;-151;-123;-105;-98;-40;13;6;10;6;-26;-90;-98;-81;10;-37;-120;-17;-97;-58
1980;-147;-115;-109;-107;-47;-16;6;33;9;-47;-82;-132;-88;8;-40;-145;-20;-108;-63
1981;-166;-138;-82;-66;-34;7;7;23;0;-49;-105;-148;-61;12;-51;-127;-10;-110;-63
1982;-108;-125;-123;-102;-35;10;35;26;29;-41;-59;-108;-87;24;-24;-121;-6;-93;-50
1983;-95;-160;-98;-73;-36;3;58;29;4;-34;-68;-107;-69;30;-33;-134;-2;-107;-48
1984;-137;-158;-139;-95;-50;-18;18;14;-16;-28;-49;-99;-95;5;-31;-136;-24;-100;-63
1985;-174;-134;-118;-84;-29;-19;40;24;13;-25;-101;-77;-77;15;-38;-127;-9;-101;-57
1986;-144;-159;-103;-76;-8;-3;18;26;8;-16;-59;-112;-62;14;-22;-121;-6;-100;-52
1987;-147;-105;-161;-77;-61;-13;30;17;25;-19;-80;-78;-100;11;-25;-106;-13;-93;-56
1988;-100;-139;-142;-71;-23;-12;33;34;-8;-17;-95;-110;-79;18;-40;-88;-8;-76;-54
1989;-70;-85;-80;-74;-41;-24;21;18;-3;-30;-82;-78;-65;5;-38;-82;-17;-73;-44
1990;-88;-80;-79;-84;-26;-2;21;23;-25;-20;-87;-135;-63;14;-44;-123;-15;-92;-48
1991;-97;-138;-76;-102;-76;-9;35;31;16;-45;-81;-117;-85;19;-37;-109;-17;-93;-55
1992;-92;-119;-106;-82;-21;-3;39;56;-1;-58;-65;-89;-70;31;-41;-101;-2;-92;-45
1993;-96;-117;-126;-67;-15;6;13;29;-18;-31;-91;-107;-69;16;-47;-117;-9;-91;-52
1994;-114;-130;-74;-88;-31;3;46;40;2;-42;-54;-89;-64;30;-31;-110;-5;-93;-44
